2017-05-24 23:12:09,343 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MyWebApp
2017-05-24 23:12:09,351 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0.2 is missing, no dependency information available
2017-05-24 23:12:09,353 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:2.0.2: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:2.0.2 or one of its dependencies could not be resolved: Cannot access redhat-ga-repository (http://maven.repository.redhat.com/ga/) in offline mode and the artifact org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0.2 has not been downloaded from it before.
2017-05-24 23:12:09,356 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0.2 is missing, no dependency information available
2017-05-24 23:12:09,357 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:2.0.2: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:2.0.2 or one of its dependencies could not be resolved: Cannot access redhat-ga-repository (http://maven.repository.redhat.com/ga/) in offline mode and the artifact org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0.2 has not been downloaded from it before.
2017-05-24 23:12:09,363 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-24 23:12:10,341 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sethi.vishal:MyWebApp:0.0.1-SNAPSHOT @ C:\Users\vishal\Documents\GitHub\MyWebApp\MyWebApp\pom.xml.
2017-05-24 23:12:11,830 [Worker-27] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/ga/org/apache/tomcat/maven/tomcat7-maven-plugin/8.5/tomcat7-maven-plugin-8.5.pom
2017-05-24 23:12:13,538 [Worker-27] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/maven/tomcat7-maven-plugin/8.5/tomcat7-maven-plugin-8.5.pom
2017-05-24 23:12:13,540 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 is missing, no dependency information available
2017-05-24 23:12:14,702 [Worker-27] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/ga/org/apache/tomcat/maven/tomcat7-maven-plugin/8.5/tomcat7-maven-plugin-8.5.jar
2017-05-24 23:12:15,651 [Worker-27] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/maven/tomcat7-maven-plugin/8.5/tomcat7-maven-plugin-8.5.jar
2017-05-24 23:12:15,652 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:8.5: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:8.5 or one of its dependencies could not be resolved: Could not find artifact org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 in redhat-ga-repository (http://maven.repository.redhat.com/ga/)
2017-05-24 23:12:15,680 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 is missing, no dependency information available
2017-05-24 23:12:15,682 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:8.5: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:8.5 or one of its dependencies could not be resolved: Failure to find org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 in http://maven.repository.redhat.com/ga/ was cached in the local repository, resolution will not be reattempted until the update interval of redhat-ga-repository has elapsed or updates are forced
2017-05-24 23:12:16,429 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-24 23:12:16,430 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vishal\Documents\GitHub\MyWebApp\MyWebApp\src\main\resources
2017-05-24 23:12:16,434 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-24 23:12:16,435 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vishal\Documents\GitHub\MyWebApp\MyWebApp\src\test\resources
2017-05-24 23:12:16,436 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MyWebApp
2017-05-24 23:12:16,436 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MyWebApp
2017-05-24 23:12:16,441 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 is missing, no dependency information available
2017-05-24 23:12:16,443 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:8.5: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:8.5 or one of its dependencies could not be resolved: Cannot access redhat-ga-repository (http://maven.repository.redhat.com/ga/) in offline mode and the artifact org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 has not been downloaded from it before.
2017-05-24 23:12:16,447 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 is missing, no dependency information available
2017-05-24 23:12:16,449 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:8.5: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:8.5 or one of its dependencies could not be resolved: Cannot access redhat-ga-repository (http://maven.repository.redhat.com/ga/) in offline mode and the artifact org.apache.tomcat.maven:tomcat7-maven-plugin:jar:8.5 has not been downloaded from it before.
2017-05-24 23:12:16,457 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-24 23:12:36,991 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sethi.vishal:MyWebApp:0.0.1-SNAPSHOT @ C:\Users\vishal\Documents\GitHub\MyWebApp\MyWebApp\pom.xml.
