0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/components-font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/jquery.mb.ytplayer/dist/jquery.mb.YTPlayer.js HTTP/1.1" 200 89595
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/isotope/dist/isotope.pkgd.js HTTP/1.1" 200 89779
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/wow/dist/wow.js HTTP/1.1" 200 15242
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/flexslider/jquery.flexslider.js HTTP/1.1" 200 54955
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/imagesloaded/imagesloaded.pkgd.js HTTP/1.1" 200 12332
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/magnific-popup/dist/jquery.magnific-popup.js HTTP/1.1" 200 41730
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/smoothscroll.js HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/simple-text-rotator/jquery.simple-text-rotator.min.js HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/js/main.js HTTP/1.1" 200 30335
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/shop/product-1.jpg HTTP/1.1" 200 21706
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/js/plugins.js HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/shop/product-2.jpg HTTP/1.1" 200 19439
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/shop/product-3.jpg HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/shop/product-4.jpg HTTP/1.1" 200 24020
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/shop/product-6.jpg HTTP/1.1" 200 20911
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/client-logo-dark-1.png HTTP/1.1" 200 17838
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/client-logo-dark-3.png HTTP/1.1" 200 20728
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/client-logo-dark-5.png HTTP/1.1" 200 12969
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/shop/product-5.jpg HTTP/1.1" 200 17458
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/rp-2.jpg HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/client-logo-dark-4.png HTTP/1.1" 200 16327
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/client-logo-dark-2.png HTTP/1.1" 200 14666
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/images/rp-1.jpg HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:42 +0530] "GET /MyWebApp/assets/lib/et-line-font/fonts/et-line.woff HTTP/1.1" 200 55220
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:42 +0530] "GET /MyWebApp/assets/images/shop/slider1.png HTTP/1.1" 200 143395
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:42 +0530] "GET /MyWebApp/assets/images/shop/slider3.png HTTP/1.1" 200 88455
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:42 +0530] "GET /MyWebApp/assets/images/prev-light.png HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:42 +0530] "GET /MyWebApp/assets/lib/flexslider/fonts/flexslider-icon.woff HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:42 +0530] "GET /MyWebApp/assets/images/next-light.png HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:44 +0530] "GET /MyWebApp/assets/images/favicons/favicon-16x16.png HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:44 +0530] "GET /MyWebApp/assets/images/favicons/favicon-96x96.png HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:55 +0530] "GET /MyWebApp/showSingle?id=Char127 HTTP/1.1" 200 44375
